Team_Alias,Player_Name,Minutes,PPG,APG,DefRBD,OffRBD,SPG,BPG,Paint_PPG,att_3PT_pg,made_3PT_pg,ATO,Position
ATL,Kobe Bufkin,196,4.8,1.6,1.59,0.35,0.41,0.29,1.65,2.35,0.53,2.7,G
ATL,De'Andre Hunter,1681,15.6,1.5,3.35,0.54,0.7,0.28,4.63,5.33,2.05,1.05,F-G
ATL,Bogdan Bogdanovic,2401,16.9,3.1,2.77,0.67,1.22,0.33,4.58,8.11,3.04,2.21,G
ATL,Clint Capela,1883,11.5,1.2,6.04,4.59,0.59,1.45,9.64,0.01,0,1.23,C
ATL,Trae Young,1942,25.7,10.8,2.33,0.43,1.33,0.2,7.52,8.69,3.24,2.48,G
ATL,Trent Forrest,414,2.2,2.4,1.05,0.29,0.29,0.08,1.58,0.26,0.05,4.6,G
ATL,Jalen Johnson,1889,16,3.6,7.39,1.32,1.2,0.84,9.68,3.57,1.27,2.01,F
ATL,Saddiq Bey,2062,13.7,1.5,3.87,2.65,0.81,0.17,5.33,5.68,1.79,1.7,G-F
ATL,AJ Griffin,171,2.4,0.3,0.8,0.1,0.05,0.1,0.6,1.95,0.5,0.63,F
MIL,Marques Bolden,3,0,0,1,0,0,0,0,0,0,0,C
MIL,Lindell Wigginton,8,2,0,0,0,0,0,1.33,0.67,0,0,G
MIL,Pat Connaughton,1676,5.6,2.1,2.47,0.67,0.53,0.25,1.79,3.13,1.08,3.29,G
MIL,TyTy Washington Jr.,56,1.3,0.5,0.36,0.09,0.27,0,0.55,0.55,0.18,2.5,G
MIL,Danilo Gallinari,155,2.8,0.7,0.71,0.35,0.35,0.06,0.94,1,0.18,1.2,F
MIL,Khris Middleton,1487,15.1,5.3,3.95,0.73,0.93,0.27,3.96,4.49,1.71,2.3,F
MIL,Damian Lillard,2579,24.3,7,3.89,0.49,0.99,0.25,6.77,8.52,3.01,2.63,G
MIL,AJ Green,614,4.5,0.5,0.98,0.16,0.16,0.07,0.21,3.02,1.23,2.5,G
MIL,Jaylin Galloway,0,0,0,0,0,0,0,0,0,0,0,F
