"Team_Alias","Player_Name","Minutes","PPG","APG","DefRBD","OffRBD","SPG","BPG","Paint_PPG","att_3PT_pg","made_3PT_pg","ATO","Position","scoring","shooting","passing","defense","rebounding"
"WAS","Jared Butler",566,6.3,3.2,1.23,0.23,0.73,0.2,3.45,1.95,0.6,2.52,"G",29,18,68,34,4
"WAS","Bilal Coulibaly",1715,8.4,1.7,3.17,0.89,0.9,0.76,3.75,2.94,1.02,1.26,"F-G",40,38,21,78,53
"WAS","Jordan Poole",2346,17.4,4.4,2.31,0.41,1.1,0.32,6.23,7.23,2.36,1.82,"G",76,85,69,75,21
"WAS","Deni Avdija",2257,14.7,3.8,6.08,1.12,0.8,0.48,8.08,3.13,1.17,1.79,"F",77,61,63,53,85
"WAS","Corey Kispert",2067,13.4,2,2.44,0.38,0.51,0.2,4.75,6,2.3,1.59,"F",59,76,35,16,23
"WAS","Landry Shamet",726,7.1,1.2,1,0.35,0.54,0.22,2.04,3.41,1.15,1.8,"G",20,35,28,19,4
"WAS","Kyle Kuzma",2281,22.2,4.2,5.74,0.89,0.53,0.7,11.2,6.43,2.16,1.54,"F",93,90,63,40,82
"WAS","Johnny Davis",613,3,0.6,1.08,0.36,0.36,0.2,1.8,0.8,0.28,2.46,"G",4,3,35,9,5
"WAS","Daniel Gafford",1192,10.9,1.5,5.11,2.91,0.98,2.16,8.76,0,0,1.5,"F-C",72,20,25,97,94
"WAS","Daniel Gafford",1192,10.9,1.5,5.11,2.91,0.98,2.16,8.76,0,0,1.5,"F-C",76,21,32,92,89
"WAS","Tyus Jones",1933,12,7.3,2.41,0.3,1.08,0.27,5.48,3.88,1.61,7.35,"G",58,61,100,70,20
"WAS","Trey Jemison",1,0,0,0.5,0,0,0,0,0,0,0,"C",49,8,4,65,87
"WAS","Marvin Bagley III",575,13.3,1.2,4.58,3.5,0.63,0.79,9.92,0.71,0.33,0.93,"F-C",78,40,6,53,95
"DAL","Dante Exum",1088,7.8,2.9,2.25,0.45,0.4,0.09,3.75,1.96,0.96,3.2,"G",38,33,75,8,21
"DAL","Dereck Lively II",1294,8.8,1.1,4.42,2.45,0.65,1.4,8.04,0.04,0,1.2,"C",61,13,9,81,90
"DAL","Tim Hardaway Jr.",2120,14.4,1.8,2.94,0.28,0.53,0.08,2.78,7.56,2.67,2.01,"G-F",52,83,41,13,27
"DAL","Maxi Kleber",871,4.4,1.6,2.63,0.7,0.4,0.7,1.26,2.14,0.74,2.43,"F",6,16,47,27,35
"DAL","Daniel Gafford",623,11.2,1.6,4.72,2.21,0.72,1.93,10,0,0,1.64,"F-C",72,20,25,97,94
"DAL","Daniel Gafford",623,11.2,1.6,4.72,2.21,0.72,1.93,10,0,0,1.64,"F-C",76,21,32,92,89
"DAL","Derrick Jones Jr.",1783,8.6,1,2.21,1.08,0.7,0.67,4.03,3.14,1.08,1.15,"F",41,41,8,54,41
"DAL","Grant Williams",1242,8.1,1.7,2.62,0.98,0.51,0.57,1.96,4.47,1.68,1.53,"F",25,53,30,32,46
"DAL","Grant Williams",1242,8.1,1.7,2.62,0.98,0.51,0.57,1.96,4.47,1.68,1.53,"F",69,67,52,41,75
"DAL","P.J. Washington Jr.",935,11.7,1.5,5.07,1.1,1.17,0.93,4.97,5.83,1.83,1.47,"F",69,68,36,72,74
"DAL","P.J. Washington Jr.",935,11.7,1.5,5.07,1.1,1.17,0.93,4.97,5.83,1.83,1.47,"F",56,65,23,91,80
"DAL","Dwight Powell",836,3.3,1.3,1.86,1.54,0.41,0.32,2.25,0.05,0.02,2.63,"F-C",8,1,47,14,54
"DAL","Jaden Hardy",989,7.3,1.5,1.52,0.27,0.3,0.05,2.49,3.07,1.11,1.76,"G",26,34,33,2,8
"DAL","Josh Green",1505,8.2,2.3,2.53,0.7,0.82,0.16,3.44,3.28,1.26,2.17,"G",37,43,50,41,32
"DAL","Luka Dončić",2624,33.9,9.8,8.4,0.84,1.41,0.54,11.06,10.63,4.06,2.43,"F-G",99,100,98,91,92
"DAL","Kyrie Irving",2030,25.6,5.2,4.24,0.76,1.28,0.48,9.52,7.26,2.98,2.82,"G",94,98,88,86,66
